Course,Distribs,Quality,Reviews
AAAS007: First Year Seminar,,1.0,8.0
AAAS009: Introduction to AAAS Diaspora Studies,"CI, INT",1.0,2.0
AAAS010: Introduction to African-American Studies,"SOC, CI",6.0,14.0
AAAS011: Introduction to African Studies,"SOC, NW",7.0,9.0
AAAS012: Race and Slavery in U.S. History,"SOC, W",6.0,9.0
AAAS014: Pre-Colonial African History,"SOC, NW",0.0,8.0
AAAS015: History of Africa since 1800,"SOC, NW",1.0,10.0
"AAAS016: History, Culture and Society: The Many Faces of Latin America","LIT, NW",2.0,18.0
AAAS018.03: Introduction to African Religions,"NW, TMV",1.0,1.0
AAAS018: Introduction to African Religions,,1.0,4.0
AAAS019: Africa and the World,"INT, SOC, NW",3.0,7.0
AAAS022.10: African American Religion and Culture in Jim Crow America,"CI, TMV",1.0,1.0
AAAS022: Religion and the Civil Rights Movement,"SOC, CI",0.0,1.0
AAAS023: The Black Sporting Experience,"SOC, CI",1.0,7.0
AAAS025: Constructing Black Womanhood,"SOC, CI",1.0,8.0
AAAS026: Toni Morrison,"INT, LIT, CI",4.0,19.0
"AAAS031: Black Theater, U.S.A.","ART, CI",1.0,5.0
AAAS033: The African American Intellectual,,1.0,2.0
AAAS034: Early Black American Literature,,2.0,6.0
AAAS035: Modern Black American Literature,"LIT, W",7.0,18.0
AAAS036.50: Rasta and Rastafari,"SOC, NW",5.0,3.0
AAAS039.05: Utility of Death and Dying in African American Music,"W, ART",1.0,1.0
AAAS039.06: Hip-Hop in the United States,"CI, ART",1.0,1.0
AAAS040: Gender Identities and Politics in Africa,"INT, CI",2.0,4.0
"AAAS042: Women, Religion and Social Change in Africa","SOC, NW",1.0,2.0
"AAAS044: Contemporary Africa: Exploring Myths, Engaging Realities","SOC, CI, INT",2.0,1.0
AAAS045: Africa: Ecology and Development,,1.0,11.0
AAAS046: History of Modern South Africa,"SOC, NW",1.0,12.0
"AAAS050: Colonialism, Development, and the Environment in Africa and Asia","INT, SOC, NW",2.0,2.0
AAAS051: African Literatures: Masterpieces of Literatures from Africa,"INT, LIT, NW",8.0,14.0
AAAS052: The History of North Africa from the Arrival of Islam to the Present,,1.0,2.0
AAAS055: African Cinema,,1.0,4.0
AAAS062: Nationalism and Revolution in the Caribbean,"INT, SOC, NW",1.0,2.0
"AAAS065.65: Silence, Exile, and Cunning: Comparing Jewish and African Diasporic Literatures","NW, LIT",-1.0,1.0
AAAS067: Colonial and Postcolonial Masculinities,,1.0,3.0
AAAS068: Afro/Black Paris,"INT, SOC, CI",2.0,1.0
"AAAS088.14: Cities, Subjects & Sonic Africa","ART, NW",0.0,1.0
"AAAS088.16: Sovereignty, Race, and Rights","INT, SOC, NW",-1.0,1.0
AAAS088.19: Contemporary African American Visual Artists,"ART, W",-1.0,1.0
AMES004: Introduction to Arabic Culture,"LIT, CI",4.0,5.0
AMES007.02: Intl Conflict &Coop; in Asia,"INT, SOC, NW",0.0,1.0
AMES008: Introduction to Islam,"TMV, NW",1.0,6.0
AMES010: The Religions of China,"TMV, NW",0.0,9.0
AMES011: Introduction to Korean Culture,"SOC, CI",7.0,20.0
AMES012: Introduction to Chinese Culture,"LIT, CI",6.0,56.0
AMES013: Introduction to Japanese Culture,"LIT, CI",5.0,22.0
AMES015: Modern Islam,"TMV, NW",1.0,14.0
AMES017: Introduction to Hebraic and Israeli Culture,"LIT, CI",1.0,8.0
AMES018: History and Culture of Indonesia,NW,3.0,14.0
AMES019: Introduction to South Asia,,1.0,4.0
AMES041.06: Reporting the Arab Spring,"INT, SOC, NW",2.0,2.0
AMES042.15: Ethnic Identities in Modern South Asia,"INT, SOC, NW",1.0,1.0
AMES054: Arabic as a Cultural System,NW,1.0,1.0
AMES091: Senior Seminar: Research Topics in Asian and Middle Eastern Studies,,2.0,7.0
ANTH001: Introduction to Anthropology,"INT, SOC, CI",25.0,111.0
ANTH003: Introduction to Cultural Anthropology,"INT, SOC, NW",38.0,98.0
ANTH004: Peoples and Cultures of Native North America,"SOC, NW",3.0,17.0
ANTH005: Reconstructing the Past: Introduction to Archaeology,SOC,6.0,17.0
ANTH006: Introduction to Biological Anthropology,SCI,63.0,122.0
ANTH007.02: The Values of Medicine,"INT, SOC",5.0,4.0
ANTH007.05: Animals and Humans,TMV,0.0,2.0
ANTH007.06: Haiti and Its Visitors,"INT, CI",3.0,2.0
ANTH007: First-Year Seminars in Anthropology,,2.0,19.0
ANTH008: The Rise and Fall of Prehistoric Civilizations,"INT, SOC, NW",6.0,54.0
ANTH009: Language and Culture,SOC,12.0,13.0
ANTH011: Ancient Native Americans,"SOC, NW",2.0,14.0
ANTH012.04: Your Inner Chimpanzee,SCI,8.0,3.0
ANTH013: Who Owns the Past?,"SOC, CI",3.0,13.0
ANTH014: Death and Dying,"INT, SOC",5.0,10.0
ANTH015: Political Anthropology,"INT, SOC, NW",0.0,10.0
"ANTH016: Secrecy and Lying in Politics, Law and Society",,1.0,6.0
ANTH017: The Anthropology of Health and Illness,"INT, SOC",7.0,29.0
ANTH018: Research Methods in Cultural Anthropology,SOC,2.0,5.0
ANTH019: Islam: Tradition and Transformation,,1.0,5.0
ANTH020: Primate Evolution and Ecology,SCI,7.0,25.0
ANTH021: The Aztecs,"SOC, NW",6.0,22.0
"ANTH022: Olmecs, Maya, and Toltecs: Ancient Civilizations of Mesoamerica","INT, SOC, NW",2.0,13.0
ANTH023: The Incas,,1.0,3.0
ANTH024: Early Civilizations of the Andes,,2.0,20.0
ANTH025: Primate Biomechanics,"SOC, NW, SCI",3.0,5.0
ANTH026: Gender and Global Health,,1.0,4.0
ANTH027: Economic Anthropology in a Changing World,"INT, SOC, NW",4.0,6.0
ANTH030: Hunters and Gatherers,,2.0,2.0
ANTH031: Gender in Cross-Cultural Perspective,"INT, SOC, CI",8.0,5.0
ANTH032: Anthropology of Tibet and the Himalayas,"SOC, NW",-1.0,6.0
ANTH033: The Global Caribbean,"SOC, NW",3.0,8.0
ANTH034: Comparative Perspectives on the U.S.-Mexican Borderlands,"SOC, CI",1.0,5.0
ANTH035: Maya Indians Under Mexican and Guatemalan Rule,,2.0,6.0
"ANTH036: Contemporary Africa: Exploring Myths, Engaging Realities","SOC, CI, INT",8.0,17.0
ANTH037: Legacies of Conquest: Latin America,"SOC, CI",5.0,13.0
ANTH038: Human Behavioral Ecology,,3.0,32.0
ANTH039: Archaeology of the Middle East,"INT, SOC, NW",3.0,2.0
ANTH040: Human Functional Anatomy,SLA,3.0,1.0
ANTH041: Human Evolution,SCI,22.0,9.0
ANTH042: Medical Gross Anatomy: Scars of Human Evolution,SLA,3.0,7.0
ANTH043: Human Osteology,SLA,4.0,14.0
"ANTH044: Language, Gender & Sexuality",SOC,2.0,8.0
ANTH045: Asian Medical Systems,"SOC, NW",1.0,1.0
ANTH048: From the Sacred to Salvation: The Place of Religion in Human Societies,"INT, TMV, NW",2.0,21.0
"ANTH049: Environment, Culture, and Sustainability","W, INT, SOC",5.0,8.0
ANTH050.03: Digital Archaeology,TAS,-2.0,1.0
ANTH050.05: Environmental Archaeology,"SCI, SLA",-3.0,1.0
"ANTH050.23: DNA, Identity, and Power",SOC,1.0,2.0
ANTH050.27: Killing Time: Immortality and the Arts of Tomorrow,,1.0,1.0
ANTH050.34: Peoples of Oceania,"NW, SOC, INT",12.0,5.0
ANTH050.37: Archaeologies of Religion,"NW, SOC, INT",1.0,1.0
ANTH050.38: Social Lives of Energy: Energy Systems and their Social Contexts,SOC,1.0,1.0
ANTH050.42: Indigenous Responses to Colonialism: Maya and Maori,"CI, SOC, INT",1.0,1.0
ANTH051: Colonialism and Its Legacies in Anthropological Perspective,"INT, SOC, CI",1.0,7.0
ANTH052: Introduction to Maori Society,"SOC, NW",1.0,3.0
ANTH054: Foreign Study in Anthropology,SOC,1.0,1.0
ANTH055: Anthropology of Global Health,"SOC, INT",5.0,4.0
ANTH060: Psychological Anthropology,CI,1.0,1.0
ANTH062: Health and Disease in Evolutionary Perspective,SCI,5.0,1.0
ANTH073: Main Currents in Anthropology,SOC,2.0,11.0
"ANTH075: Ecology, Culture, and Environmental Change",SOC,2.0,6.0
ANTH077: Origins of Language,,1.0,2.0
ARAB001: First-Year Courses in Arabic,,23.0,7.0
ARAB002: First-Year Courses in Arabic,,15.0,32.0
ARAB003: First-Year Courses in Arabic,,6.0,16.0
ARAB061.08: Arab Feminisms,"INT, LIT, NW",0.0,1.0
ARTH001: Bodies and Buildings: Introduction to the History of Art in the Ancient World and the Middle Ages,"ART, W",24.0,76.0
ARTH002: Introduction to the History of Art II,"ART, W",16.0,64.0
ARTH004: Introduction to World Architecture,ART,3.0,23.0
ARTH005: Introduction to Contemporary Art,"ART, W",1.0,1.0
ARTH007.02: Paris in the 19th Century,"ART, W",2.0,3.0
ARTH007.05: Pompeii-Antique & Modern,"ART, W",2.0,2.0
ARTH007.10: Egyptomania,ART,0.0,2.0
ARTH007: Art History First Year Seminars,,0.0,1.0
"ARTH011.01: Art in Ancient Greece: Temples, Gods, Heroes","ART, W",1.0,2.0
ARTH012.01: Roman Art,"ART, W",-1.0,1.0
ARTH016.22: Unmaking History: Contemporary Art in the Middle East,"ART, NW",2.0,2.0
ARTH017.01: Rome: The Eternal City,"W, ART",1.0,2.0
ARTH020: The Art of Ancient Egypt and the Ancient Near East,"ART, NW",3.0,18.0
"ARTH021: Art in Ancient Greece: Temples, Gods, Heroes",,4.0,8.0
ARTH022: Art in the Hellenistic era: from Alexander to Cleopatra,"ART, W",4.0,11.0
ARTH025: Roman Art,"ART, W",2.0,9.0
ARTH027.02: Living Stone: Sculpture in Early Modern Italy,"W, ART",0.0,1.0
ARTH027.03: Building Boom: Architecture and Urbanism in Early Modern Italy,"W, ART",2.0,3.0
ARTH028.08: Italian Art from Renaissance to Baroque: Crisis and Invention,"W, ART",-2.0,1.0
ARTH028.09: Art on the Move: Renaissance Italy and the Islamic World,"W, ART",2.0,2.0
ARTH030: Early Christian Art,,2.0,1.0
ARTH031: Byzantine Art,,1.0,2.0
ARTH032: Early Medieval Art,,2.0,3.0
ARTH033: Gothic Art and Architecture,"ART, W",1.0,2.0
ARTH035: Islamic Architecture,"ART, NW",0.0,2.0
"ARTH036: Italian Medieval Art and Architecture, 1200-1400",,1.0,10.0
ARTH038.01: Sacred Architecture of Asia,"NW, INT, ART",-1.0,3.0
ARTH038.03: East Meets West,"ART, NW",3.0,1.0
ARTH040.01: American Art and Identity,"ART, CI",1.0,1.0
"ARTH040: Florence 1400-1450: Culture, Politics, Society",,1.0,11.0
ARTH041.01: Modernism and Modernity: Art in late nineteenth-century France,"ART, W",3.0,2.0
"ARTH041: Italian Visual Culture, 1450-1500",,5.0,17.0
"ARTH042: Lifelikeness, and Artifice, the High Renaissance and Mannerism","ART, W",1.0,5.0
ARTH045: Southern Baroque Art,"ART, W",2.0,3.0
ARTH046: Northern Baroque Art,,5.0,16.0
ARTH047.03: Contemporary Architecture,ART,4.0,4.0
"ARTH048.05: Satire: Art, Politics & Critique","ART, W",1.0,2.0
ARTH048.08: The Photographic Medium,"ART, W",2.0,1.0
ARTH048: Art & Society in the Age of the Rococo,"ART, W",1.0,2.0
ARTH050: Romanticism,"ART, W",4.0,9.0
"ARTH051: Realism, Impressionism and Post-Impressionism",,2.0,11.0
